phonetician,gender,vowel,f0,f1,f2,f3
David Madore,m,1,158.856851911147,256.035129984943,2000,3221.91387914083
David Madore,m,2,133.031633894167,424.821160912899,2250,3000
David Madore,m,3,122.943483917044,607.315921008519,1880,2472.33037408324
David Madore,m,4,126.642194863713,840,1580.31630338626,2490
David Madore,m,5,126.288930483551,600,900,2800
David Madore,m,6,124.1779538365,477.0299827286,800,2800
David Madore,m,7,130.240568112,362.590887618613,700,2600
David Madore,m,8,155.6813745158,230,500,1980
David Madore,m,9,141.837992882485,281.345507979187,1700,2100
David Madore,m,10,132.716635768245,350,1660,2100
David Madore,m,11,131.175431976317,559.569229625547,1470,2080
David Madore,m,12,120.001932657669,694.737767614085,1250,2050
David Madore,m,13,125.0589482587,523.73865816558,756.773223702304,2900
David Madore,m,14,128.8519546034,633.220867894948,1200,2518.97477781969
David Madore,m,15,131.66182663576,460.158291670096,1500,2000
David Madore,m,16,156.45504414084,323.771444108179,1230,2000
David Madore,m,17,151.960550693134,261.045031674955,1665,1934
David Madore,m,18,153.311255808315,253.701593750838,1370,1700
Wikipedia,m,1,140.789486878019,257.781823303145,2520,3380
Wikipedia,m,2,119.742952448134,360.123201042198,2482.42750268361,2882.28107863908
Wikipedia,m,3,155.235149263216,573.947181703192,1900.0562301414,2688.79304466957
Wikipedia,m,4,122.817085204612,878.428396053995,1330.64238159385,2610
Wikipedia,m,5,109.175930910364,730,900,2500
Wikipedia,m,6,139.884781021,454.079141852888,616.408981185267,2930
Wikipedia,m,7,124.4952472602,362.929028302313,657.077475003905,2805.5499638558
Wikipedia,m,8,140.7820861156,271.457703965829,696.612308225243,1956.49685677819
Wikipedia,m,9,135.081810777199,281.345507979187,2000,2350
Wikipedia,m,10,132.221995963505,408.623667559364,1600,2000
Wikipedia,m,11,146.327406032897,469.627264103742,1570,2431.62561860512
Wikipedia,m,12,115.27641159241,564.807045678998,1100,2253.13572110232
Wikipedia,m,13,156.787457446799,534.706827972421,683.444319163638,2430
Wikipedia,m,14,149.882489196962,643.351922694034,1306.87232709374,2580
Wikipedia,m,15,124.772728713148,378.531339143835,1320,2580
Wikipedia,m,16,128.390433031577,326.373625034305,1080,2700
Wikipedia,m,17,144.649485731822,282.980592058807,1600,2430
Wikipedia,m,18,151.099246718613,276.952042394854,1211.30700980093,2280
Wikipedia,m,19,117.319023217362,377.032723639735,2092.97638054442,2580
Wikipedia,m,20,128.890587248113,371.064032467401,1590.50382664899,2120
Wikipedia,m,21,143.440248008715,422.30928702586,960,2704.80368733151
Wikipedia,m,22,119.320546723702,327.568292976273,1500,2640
Wikipedia,m,23,140.751663654038,397.758195168973,845.727976264459,2400
Wikipedia,m,24,117.488666665951,538.369736481046,1160,2520
Wikipedia,m,25,132.330877928841,627.974963640225,1450,2530
Wikipedia,m,26,127.885045751806,411.340719531678,1200,2320
Wikipedia,m,27,125.251456995057,699.853048991232,1800,2538.69299466228
Wikipedia,m,28,156.427034799342,677.747905365393,1220,2590
Dan Lenard,m,1,149.245524757482,309.5878554691,2416.89193454757,2889.65641275577
Dan Lenard,m,2,130.706070044971,500,2110.45435054276,2570
Dan Lenard,m,3,113.968511471298,586.299313279965,1669.15040978835,2336.04155842941
Dan Lenard,m,4,126.710660458779,770,1377.74915575799,2300
Dan Lenard,m,5,119.92683547471,650,1000,2561.68423450364
Dan Lenard,m,6,140.0316893724,524.3917893555,800,2510
Dan Lenard,m,8,142.9666758724,323.9600013898,753.4732585646,2180
Dan Lenard,m,9,129.429441799243,292.016133455059,1520,2250
Dan Lenard,m,10,141.456871790139,469.685699436243,1520,2297.86338903675
Dan Lenard,m,11,112.752835187089,441.814217980172,1530,2100
Dan Lenard,m,13,121.7777029264,545.658852540383,680.250386685218,2750
Dan Lenard,m,14,143.226202659595,770,1250,2220
Dan Lenard,m,15,135.410588578374,445.559179649379,1357.95230831053,2378.58226264228
Dan Lenard,m,16,132.38312078719,345.376343621241,1050,2800
Dan Lenard,m,17,144.944238528408,257.283600100614,1700,2300
Dan Lenard,m,18,134.636037029123,284.209060983886,1235,1971.8030051869
Dan Lenard,m,19,114.411926924965,414.281768991748,1794.79568473625,2391.23027648177
Dan Lenard,m,20,135.954407219004,399.083163024577,1350,2210
Dan Lenard,m,21,125.789214802262,457.990958948849,1000,2120
Dan Lenard,m,22,128.86063296301,382.929883117248,1545.79806899363,2706.97311106647
Dan Lenard,m,23,139.126725669366,435.571626352689,900,2350
Dan Lenard,m,24,125.432907201822,521.251420305596,1226.03730934395,2377.43985870127
Dan Lenard,m,25,113.172455664667,686.805514228066,1452.81121037407,2400
Dan Lenard,m,26,120.209977583311,485.750242226716,1200,2180
Dan Lenard,m,27,138.020642298453,648.949669651244,1800,2300
Dan Lenard,m,28,118.649812895195,777.468723698655,1270,2350
Macquire University,m,1,109.857379491262,314.737243052076,2355,3400
Macquire University,m,2,107.416196009853,323.368010349512,2270,2800
Macquire University,m,3,105.960191425236,629.288053695324,1990,2700
Macquire University,m,4,105.133276260893,830,1580,2600
Macquire University,m,5,105.908660660992,383.892891215182,800,2730
Macquire University,m,6,107.7251631537,359.0633790449,727.057652246,2890
Macquire University,m,7,107.3399186017,317.163799265,581.0115983507,2630
Macquire University,m,8,111.9194245819,275.3415420688,495.4991745486,2190
Macquire University,m,9,117.06453960715,264.546769187215,2050,2406.48811775817
Macquire University,m,10,111.579993406452,332.40945161741,1995.15434687976,2365.13926575021
Macquire University,m,16,119.115564298137,267.173950077182,1310,2142.0955611981
University of Sheffield (female),f,1,264.028973037788,272.406372455993,2650,3995.97947002687
University of Sheffield (female),f,2,262.130846419421,503.775284136748,2360,2901.39723781826
University of Sheffield (female),f,3,255.626757513705,750,2100,2700
University of Sheffield (female),f,4,250.171306143018,942.430888168954,1750,2480
University of Sheffield (female),f,7,263.0174731462,352.6914862312,562.8851581896,2900
University of Sheffield (female),f,8,267.2523225127,272.3126443203,500,2391.6845199609
University of Sheffield (female),f,9,270.11265770237,283.05427095774,2449.34666356324,2775.99218202937
University of Sheffield (female),f,10,264.872730976042,517.394251244629,1738.92536870642,2630
University of Sheffield (female),f,11,263.136409250794,642.855836856925,1689.63851227269,2576.48341645498
University of Sheffield (female),f,12,263.719270724658,760,1570.88128383387,2624.25944346515
University of Sheffield (female),f,13,257.158326058113,620,920,3070
University of Sheffield (female),f,14,261.304469392044,742.899493698304,1051.32707376452,3000
University of Sheffield (female),f,15,261.377049984084,587.869498170358,1550,2886.21173932955
University of Sheffield (female),f,24,220.08716404413,670,1570,2740
University of Sheffield (female),f,27,232.313499690603,980,1740,2800
University of Sheffield (male),m,1,133.843119454501,271.527267969761,2080,3220
University of Sheffield (male),m,2,130.040501686436,360.345769714992,2100,2916.41094039262
University of Sheffield (male),m,3,130.579715375253,594.105217969845,1590,2400
University of Sheffield (male),m,4,129.645830966741,650,1300,2400
University of Sheffield (male),m,5,113.699239262681,541.24324871255,729.538037710525,2774.89450578446
University of Sheffield (male),m,6,116.1979859252,387.5235719626,589.6453756024,2600
University of Sheffield (male),m,7,120.5380353738,350.1305732996,531.302169015,2210
University of Sheffield (male),m,8,123.8614204218,290.5439066,500,2030
University of Sheffield (male),m,9,133.137947718256,230.026694259332,1750,2150
University of Sheffield (male),m,10,127.757919563796,349.911748882682,1600,2120
University of Sheffield (male),m,11,127.111912165513,434.765736089758,1248.06230552589,1830
University of Sheffield (male),m,12,123.756965368639,490.90624780099,1091.95636773477,2200
University of Sheffield (male),m,13,123.366782332339,587.745558740907,850,2680
University of Sheffield (male),m,14,116.849906633401,597.998856766882,1030.46092882831,1900
University of Sheffield (male),m,15,123.640842056304,420.268295663633,1451.91159156025,1938.29959590002
University of Sheffield (male),m,16,124.569804510001,322.422456693515,1570,2000
University of Sheffield (male),m,24,131.499925948016,520,1180,2476.8335180444
University of Sheffield (male),m,27,132.634160564618,700,1518.00442343465,2150
Daniel Jones,m,1,178.0775548873,264.031615335862,2470,3600
Daniel Jones,m,2,175.768031095046,356.476958180297,2146.85345140328,2558.93037815093
Daniel Jones,m,3,174.812266386479,524.996540765234,1978.78543015862,2279.07708484116
Daniel Jones,m,4,175.48192156553,879.010792873503,1678.23081203289,2300
Daniel Jones,m,5,176.381651505123,700,906.703127083604,2290
Daniel Jones,m,6,173.5817953088,526.3988890983,896.9101873059,2050
Daniel Jones,m,7,174.7846109231,391.0156507839,721.9514725279,2210
Daniel Jones,m,8,178.5967381186,250,550,2340
Daniel Jones,m,9,175.750844452783,258.243322648583,2200,2600
Daniel Jones,m,10,176.438563254557,353.672565212337,1784.64880612137,2230
Daniel Jones,m,11,169.801014937705,524.653685383072,1480,2020
Daniel Jones,m,12,174.208672621981,671.429944117498,1209.17890932086,1877.49087298938
Daniel Jones,m,13,175.554869562322,678.064722873944,885.319159891072,2600
Daniel Jones,m,14,173.903594561806,529.337305286782,1034.70090364025,2591.88309876035
Daniel Jones,m,15,171.456207374281,472.388287920044,1050,2200
Daniel Jones,m,16,177.18754955195,305.046950939712,1100,2490
Daniel Jones,m,17,173.897261386156,287.670370364254,1990,2400
Daniel Jones,m,18,179.443665326782,260.594953480512,1410,1910
John Esling,m,1,135.0512196756,255.063873104071,2521.98508987138,3400
John Esling,m,2,120.641802931768,437.194386126863,2345.33429989952,3050
John Esling,m,3,123.395510401875,600,1870,2600
John Esling,m,4,116.298346034132,925,1400,2570
John Esling,m,5,113.183033277263,670,1000,2530
John Esling,m,6,110.3699409721,611.911955782873,855.420660460494,2340
John Esling,m,7,113.8329545616,400,700,2670.763665707
John Esling,m,8,123.1787900179,300,600,2490
John Esling,m,9,132.383254594994,262.229696105692,1747.9952374668,2051.47207566647
John Esling,m,10,125.118289368517,353.268930971327,1460,2370
John Esling,m,11,114.332795930599,450.722283839933,1405.87480044109,2382.32262874829
John Esling,m,12,115.641640978566,581.790581671451,1510.44388578987,2410
