cv,female_f1,female_f2,female_f3
1,305.307048486282,2745.71428571429,3659.89160526654
2,468.215037561142,2481.87730269133,2955.81032907603
3,713.49783620258,2047.12465117296,2773.57142857143
4,953.535794755544,1611.73283272596,2684.71166292973
5,774.485888239584,1088.10867946679,3011.0335126857
6,576.037881100807,945.542618820493,2863.33333333333
7,398.789828363617,778.618777358209,2767.68055525356
8,300.38544072005,672.221293428478,2397.36155344218
9,351.061607130618,2343.72825973609,2736.20696529129
10,429.041302789798,2016.76285467465,2713.90937053227
11,565.15600682687,1792.28848176336,2758.37548265808
12,693.007486328362,1573.96236332268,2724.85740094419
13,617.817625709912,890,2893.90523645065
14,776.613453813388,1217.00610311593,2929.9118387741
15,540.543160709885,1283.23655821778,2801.24399657696
16,396.62243198364,1532.90108739372,2724.37663588367
17,373.264354560782,2056.09427329935,2718.40426295469
18,376.134630259496,1887.6989826404,2560.22082825759
19,446.796116595605,2448.78607548443,3003.73287488263
20,449.185937548512,1972.5,2673.84960362213
21,447.482983510751,931.363657752234,2620
22,449.53627915738,1542.16137703428,2670.26471098783
23,473.818863245492,1481.39346351406,2623.78102366838
24,647.660922288983,1499.83051685239,2707.42100191085
25,678.247813559458,1457.5,2748.88932543221
26,635.837356930642,1357.72524600282,2690.34309818617
27,930.724235053351,1812.33730034265,2775.32080282354
28,821.686726588174,1399.72986721468,2686.32249725419
