cv,male_f1,male_f2,male_f3
1,280.553153692339,2360.57983289214,3293.50123190304
2,412.929019503734,2222.9905769298,2798.52060522444
3,585.931513532582,1823.94252222312,2551.96065884931
4,819.86528226243,1456.92545279405,2468.125
5,629.94658132975,917.447214717842,2670.6622098749
6,481.481223409865,778.551029009284,2623.85903477768
7,375.000445588575,674.695602685503,2505.43714664307
8,274.05952082274,576.41874458235,2238.00454912185
9,274.483962077789,1856.30047112615,2298.07174503794
10,376.97780861233,1691.75565922943,2232.08697410255
11,510.438049978113,1497.56022420147,2220.3719120878
12,629.262182595772,1290.67420164338,2211.57193195707
13,566.465561824571,780.478761380659,2647.55079132228
14,613.349872024213,1110.41156562569,2592.97890671241
15,442.611129813269,1181.31786466935,2470.60036330643
16,328.986480765897,1250.95167602156,2449.91709457603
17,324.203815049516,1783.82216387459,2330.22948245507
18,289.537479124975,1510.8252404799,2094.87207811988
19,377.594482614744,2038.42540615684,2590.24917894757
20,347.031570047152,1713.3092298969,2209.65759409714
21,405.273337543192,880.722912244657,2339.30447698592
22,398.313241360558,1510.0997586242,2449.22709183464
23,413.804269335884,1137.13135262828,2192.22222222222
24,534.295596485091,1215.64640697519,2446.498136005
25,594.303666892627,1386.78112103741,2525
26,514.045200090491,1217.75361976901,2218.58930343275
27,695.414427915213,1641.53452161082,2456.86929946623
28,655.630106299933,1186.74035898292,2551.90332891652
